id,native_text,target_text,cefr_level,is_public,collection_id,unit_type,structure,function,grammar_points
1,Bỏ rơi.,Abandon.,Sơ cấp (A2),True,1,word,,,verb
2,Chúng ta phải từ bỏ kế hoạch này.,We have to abandon the plan.,Vỡ lòng (A1),True,1,sentence,simple,declarative,present_simple|modal|pronoun|verb_phrase|noun_phrase
3,Hấp thụ.,Absorb.,Vỡ lòng (A1),True,2,word,,,verb
4,Loại giấy này không thấm mực.,This paper does not absorb ink.,Sơ cấp (A2),True,2,sentence,simple,declarative,present_simple|negation|noun_phrase|verb_phrase
5,Lạm dụng.,Abuse.,Sơ cấp (A2),True,3,word,,,noun|verb
6,Cô ấy là nạn nhân của lạm dụng tình dục.,She is a victim of sexual abuse.,Sơ cấp (A2),True,3,sentence,simple,declarative,present_simple|pronoun|verb|noun_phrase|prepositional_phrase
7,Tình dục.,Sexual.,Sơ cấp (A2),True,4,word,,,adjective
8,Chính xác.,Accurately.,Sơ cấp (A2),True,5,word,,,adverb
9,Việc dự đoán thời tiết một cách chính xác rất khó.,It's difficult to accurately predict the weather.,Sơ cấp (A2),True,5,sentence,simple,declarative,present_simple|adjective|adverb|verb|noun|determiner|pronoun|noun_phrase
10,Thừa nhận.,Acknowledge.,Sơ cấp (A2),True,6,word,,,verb
11,Chúng tôi xác nhận đã nhận được thư của bạn.,We acknowledge receipt of your letter.,Sơ cấp (A2),True,6,sentence,simple,declarative,present_simple|pronoun|verb|noun_phrase|prepositional_phrase
12,Giành được.,Acquire.,Sơ cấp (A2),True,7,word,,,verb
13,Cần bao lâu để có được những kỹ năng cần thiết?,How long will it take to acquire the necessary skills?,Sơ cấp (A2),True,7,sentence,simple,interrogative,future_will|question_form|verb|noun|adjective|pronoun|determiner|adverb_phrase|verb_phrase
14,Đủ tốt.,Adequately.,Sơ cấp (A2),True,8,word,,,adverb
15,Bạn đã chuẩn bị đầy đủ cho kỳ thi chưa?,Are you adequately prepared for the exam?,Vỡ lòng (A1),True,8,sentence,simple,interrogative,present_simple|passive|question_form|adverb|prepositional_phrase|pronoun|noun
16,Điều chỉnh.,Adjust.,Vỡ lòng (A1),True,9,word,,,verb
17,"Bạn cần chỉnh lại đồng hồ, nó chạy chậm đấy.","You need to adjust your watch, it's slow.",Sơ cấp (A2),True,9,sentence,compound,declarative,present_simple|modal|pronoun|verb|adjective|conjunction|noun_phrase
18,Nhận nuôi.,Adopt.,Vỡ lòng (A1),True,10,word,,,verb
19,Họ quyết định nhận nuôi một đứa trẻ.,They decided to adopt a child.,Vỡ lòng (A1),True,10,sentence,simple,declarative,past_simple|pronoun|verb|determiner|noun|verb_phrase
20,Quảng cáo.,Advertise.,Sơ cấp (A2),True,11,word,,,verb
21,Chúng tôi quảng bá buổi hòa nhạc khá rộng rãi.,We advertise the concert quite widely.,Sơ cấp (A2),True,11,sentence,simple,declarative,present_simple|pronoun|verb|determiner|noun|adverb|noun_phrase|adverb_phrase
22,Theo thứ tự bảng chữ cái.,Alphabetically.,Sơ cấp (A2),True,12,word,,,adverb
