success,target_term,explanation,examples,familiarity_before,familiarity_after,familiarity_improvement,response_time_ms,error,level
True,sandwich,A tasty treat made of bread and lots of goodies!,I liked a tasty grilled sandwich. | He made a classic sandwich with ham and swiss cheese.,0.22813264461372731,0.2355112158291186,0.007378571215391289,12639.758720993996,,A1
True,but,It offers a different viewpoint.,"He said he would help, but he didn't follow through. | Despite the rain, the sun shone brightly, but it was still warm.",0.2302077650188524,0.24324860303251572,0.01304083801366332,12965.101035006228,,A1
True,an,A particular kind of item for men.,He gave an impressive performance. | She selected an unusual vintage.,0.22105219793462014,0.2308507480604285,0.009798550125808353,11683.877659001155,,A1
False,ten,,,,,,,422 Client Error: Unprocessable Entity for url: http://localhost:8000/explanations,A1
True,fifth,A longer period of time.,The fifth chapter of the novel focuses on the character’s journey. | He finished the fifth task on the project.,0.22466778804466594,0.24590550533418476,0.021237717289518815,14146.378435994848,,A1
True,everyone,A group of people cooperating towards a common goal.,The team worked together to help everyone achieve their goals. | Everyone expressed their gratitude for the assistance.,0.2284293050508223,0.23024054466736651,0.0018112396165442246,11399.502199012204,,A1
True,early,A moment when a process starts.,The project started early to meet the deadline. | The sun rose early this morning.,0.23457170528558913,0.24053570860878323,0.005964003323194106,10874.842743010959,,A1
True,child,"A young person, typically under the age of seven, who is cherished and cared for.",The grandfather offered comfort to the little child. | A talented child showed impressive skills in art.,0.2292294364643864,0.23731506930098398,0.008085632836597578,13343.372967996402,,A1
True,team,A group of individuals working together towards a common goal.,The sports team won the championship. | The team of volunteers worked hard to clean up the park.,0.24176365829857457,0.2440377169250347,0.0022740586264601292,11456.946063000942,,A1
False,break,,,,,,,422 Client Error: Unprocessable Entity for url: http://localhost:8000/explanations,A1
True,skirt,"A covering for the legs, usually with folds.",She wore a pretty patterned skirt to the party. | He made a stylish dark skirt for the evening.,0.24019418053507913,0.25221827665093977,0.012024096115860639,13971.937043010257,,A1
False,tell,,,,,,,422 Client Error: Unprocessable Entity for url: http://localhost:8000/explanations,A1
True,pants,A type of clothing worn on the legs.,"He wore a pair of well-fitting pants to the meeting. | The children were playing in the park, wearing their colorful pants.",0.23851607984190162,0.24401465014220017,0.005498570300298544,12144.222578004701,,A1
True,blond,"A light, yellowish-white color.",The singer wore a beautiful blond wig. | Her hair was a beautiful blond color.,0.22842770335457274,0.23780066182599238,0.00937295847141964,13400.866993993986,,A1
True,practice,Learning something new and getting better at it.,He dedicates hours to the art of practice. | The student uses practice to learn the complex technique.,0.23378711338679534,0.24534747922621178,0.011560365839416442,12275.552867999068,,A1
True,line,A piece of writing or speech.,The author used a strong line of narrative. | He crafted a concise line of poetry.,0.24159728448948092,0.24365330185866055,0.0020560173691796246,12825.674982988858,,A1
True,anyone,A person who is present or available to do something.,Anyone can help with this task. | Anyone needs to call a doctor.,0.232454661212087,0.232454661212087,0.0,9874.561133998213,,A1
True,answer,A reply to a question or ask.,"The teacher asked a hard question, and the teacher gave an answer. | He provided a clear and concise answer to the inquiry.",0.2346332177522259,0.24927057301923383,0.014637355267007934,12686.776666989317,,A1
True,bored,"A feeling of wanting something to do, but not enjoying it.",The children were bored during the afternoon. | He felt bored after a long day at work.,0.22559987341001286,0.24111817530205168,0.015518301892038816,12103.251846987405,,A1
