source_audio_path,en_source_text,vi_translation,cefr_level
-qyZgVdUmgI_sentence_005.wav,Sudden.,Bất ngờ.,A2
-qyZgVdUmgI_sentence_010.wav,His death was very sudden.,Cái chết của ông ấy rất đột ngột.,A2
-qyZgVdUmgI_sentence_031.wav,Hope.,Hy vọng.,A1
-qyZgVdUmgI_sentence_038.wav,Plain.,Bình thường.,A2
-qyZgVdUmgI_sentence_040.wav,I want to make a model plane.,Tôi muốn làm một mô hình máy bay.,A1
-qyZgVdUmgI_sentence_042.wav,Can I carry this on the plane?,Tôi mang cái này lên máy bay được không?,A1
-qyZgVdUmgI_sentence_045.wav,Hair.,Tóc.,A1
-qyZgVdUmgI_sentence_050.wav,I need to get a haircut.,Tôi cần cắt tóc.,A1
-qyZgVdUmgI_sentence_052.wav,War,Chiến tranh,A1
-qyZgVdUmgI_sentence_053.wav,The two countries are at war.,Hai nước đang có chiến tranh.,A2
-qyZgVdUmgI_sentence_054.wav,He was killed in the war.,Ông ấy đã bị giết trong chiến tranh.,A2
-qyZgVdUmgI_sentence_059.wav,What time will you leave the office?,Mấy giờ anh rời văn phòng?,A1
-qyZgVdUmgI_sentence_065.wav,You should read the instructions carefully.,Bạn nên đọc hướng dẫn cẩn thận.,A1
-qyZgVdUmgI_sentence_066.wav,Did you read the instructions?,Anh đã đọc hướng dẫn chưa?,A1
-qyZgVdUmgI_sentence_067.wav,"I did everything according to your instructions, and","Tôi đã làm mọi thứ theo chỉ dẫn của anh, và",A2
-qyZgVdUmgI_sentence_072.wav,Why do you hesitate?,Sao anh lại do dự?,A1
-qyZgVdUmgI_sentence_073.wav,Don't hesitate to ask me any questions.,Đừng ngần ngại hỏi tôi bất cứ câu hỏi nào.,A1
-qyZgVdUmgI_sentence_083.wav,Scale,Phóng,A2
-qyZgVdUmgI_sentence_095.wav,Root.,Root.,A1
-qyZgVdUmgI_sentence_107.wav,Ice.,Đá.,A1
-qyZgVdUmgI_sentence_110.wav,The ice is melting.,Băng đang tan.,A1
-qyZgVdUmgI_sentence_119.wav,Friend,Bạn,A1
-qyZgVdUmgI_sentence_121.wav,I have a friend whose father is a teacher.,Tôi có một người bạn có cha là giáo viên.,A2
-qyZgVdUmgI_sentence_123.wav,He is an old friend of mine.,Anh ấy là bạn cũ của tôi.,A2
-qyZgVdUmgI_sentence_125.wav,I'd like you to meet my friends.,Tôi muốn giới thiệu với các bạn tôi.,A1
-qyZgVdUmgI_sentence_133.wav,Hers.,Của cô ấy.,A1
-qyZgVdUmgI_sentence_143.wav,Maybe.,Có thể.,A1
-qyZgVdUmgI_sentence_145.wav,Are you going to sell your house? Maybe.,Anh định bán nhà à?,A1
-qyZgVdUmgI_sentence_151.wav,Set.,Đặt.,A1
-qyZgVdUmgI_sentence_158.wav,Far.,Xa.,A1
-qyZgVdUmgI_sentence_172.wav,Hobby,Đồ chơi,A2
-qyZgVdUmgI_sentence_179.wav,Available.,Có sẵn.,A2
