source_audio_path,en_source_text,vi_translation,cefr_level,unit_type,structure,function,grammar_points,collection_id,flesch_kincaid_grade,match_count,no_conflict_match_count,matching_audio_paths
GUksrGBeln0_sentence_254.wav,Abandon.,Bỏ rơi.,A2,word,,,verb,1,,1,1,90DzeyiIBCw_sentence_350.wav
90DzeyiIBCw_sentence_350.wav,We have to abandon the plan.,Chúng ta phải từ bỏ kế hoạch này.,A1,sentence,simple,declarative,present_simple|modal|pronoun|verb_phrase|noun_phrase,1,2.483,0,0,
-yljNBUV0cw_sentence_130.wav,Absorb.,Hấp thụ.,A1,word,,,verb,2,,1,1,VQeC1ZO2L-w_sentence_668.wav
VQeC1ZO2L-w_sentence_668.wav,This paper does not absorb ink.,Loại giấy này không thấm mực.,A2,sentence,simple,declarative,present_simple|negation|noun_phrase|verb_phrase,2,2.483,0,0,
6rHcPgYkDpE_sentence_484.wav,Abuse.,Lạm dụng.,A2,word,,,noun|verb,3,,1,1,28wOHb8a6F4_sentence_370.wav
28wOHb8a6F4_sentence_370.wav,She is a victim of sexual abuse.,Cô ấy là nạn nhân của lạm dụng tình dục.,A2,sentence,simple,declarative,present_simple|pronoun|verb|noun_phrase|prepositional_phrase,3,5.683,0,0,
28wOHb8a6F4_sentence_366.wav,Sexual.,Tình dục.,A2,word,,,adjective,4,,1,0,28wOHb8a6F4_sentence_370.wav
S-FYtkOqTlU_sentence_106.wav,Accurately.,Chính xác.,A2,word,,,adverb,5,,1,1,S-FYtkOqTlU_sentence_105.wav
S-FYtkOqTlU_sentence_105.wav,It's difficult to accurately predict the weather.,Việc dự đoán thời tiết một cách chính xác rất khó.,A2,sentence,simple,declarative,present_simple|adjective|adverb|verb|noun|determiner|pronoun|noun_phrase,5,10.74,0,0,
0sq7LD45Kmg_sentence_114.wav,Acknowledge.,Thừa nhận.,A2,word,,,verb,6,,1,1,Wr1fGBgD97U_sentence_119.wav
Wr1fGBgD97U_sentence_119.wav,We acknowledge receipt of your letter.,Chúng tôi xác nhận đã nhận được thư của bạn.,A2,sentence,simple,declarative,present_simple|pronoun|verb|noun_phrase|prepositional_phrase,6,6.417,0,0,
6rHcPgYkDpE_sentence_810.wav,Acquire.,Giành được.,A2,word,,,verb,7,,1,1,6rHcPgYkDpE_sentence_812.wav
6rHcPgYkDpE_sentence_812.wav,How long will it take to acquire the necessary skills?,Cần bao lâu để có được những kỹ năng cần thiết?,A2,sentence,simple,interrogative,future_will|question_form|verb|noun|adjective|pronoun|determiner|adverb_phrase|verb_phrase,7,6.01,0,0,
d448ERf2gJk_sentence_905.wav,Adequately.,Đủ tốt.,A2,word,,,adverb,8,,1,1,pVwMUP_iDq0_sentence_227.wav
pVwMUP_iDq0_sentence_227.wav,Are you adequately prepared for the exam?,Bạn đã chuẩn bị đầy đủ cho kỳ thi chưa?,A1,sentence,simple,interrogative,present_simple|passive|question_form|adverb|prepositional_phrase|pronoun|noun,8,7.369,0,0,
IldNF_yojCw_sentence_873.wav,Adjust.,Điều chỉnh.,A1,word,,,verb,9,,1,1,VjAvTRsp1Dk_sentence_043.wav
VjAvTRsp1Dk_sentence_043.wav,"You need to adjust your watch, it's slow.","Bạn cần chỉnh lại đồng hồ, nó chạy chậm đấy.",A2,sentence,compound,declarative,present_simple|modal|pronoun|verb|adjective|conjunction|noun_phrase,9,0.805,0,0,
1RIdJ5ZspdU_sentence_494.wav,Adopt.,Nhận nuôi.,A1,word,,,verb,10,,1,1,nY2XN0diEB4_sentence_110.wav
nY2XN0diEB4_sentence_110.wav,They decided to adopt a child.,Họ quyết định nhận nuôi một đứa trẻ.,A1,sentence,simple,declarative,past_simple|pronoun|verb|determiner|noun|verb_phrase,10,4.45,0,0,
1RIdJ5ZspdU_sentence_399.wav,Advertise.,Quảng cáo.,A2,word,,,verb,11,,1,1,L8MZhCnzX9M_sentence_165.wav
L8MZhCnzX9M_sentence_165.wav,We advertise the concert quite widely.,Chúng tôi quảng bá buổi hòa nhạc khá rộng rãi.,A2,sentence,simple,declarative,present_simple|pronoun|verb|determiner|noun|adverb|noun_phrase|adverb_phrase,11,6.417,0,0,
