audio_file,subtitle
-qyZgVdUmgI_sentence_005.wav,Sudden.
-qyZgVdUmgI_sentence_010.wav,His death was very sudden.
-qyZgVdUmgI_sentence_031.wav,Hope.
-qyZgVdUmgI_sentence_038.wav,Plain.
-qyZgVdUmgI_sentence_040.wav,I want to make a model plane.
-qyZgVdUmgI_sentence_042.wav,Can I carry this on the plane?
-qyZgVdUmgI_sentence_045.wav,Hair.
-qyZgVdUmgI_sentence_050.wav,I need to get a haircut.
-qyZgVdUmgI_sentence_052.wav,War
-qyZgVdUmgI_sentence_053.wav,The two countries are at war.
-qyZgVdUmgI_sentence_054.wav,He was killed in the war.
-qyZgVdUmgI_sentence_059.wav,What time will you leave the office?
-qyZgVdUmgI_sentence_065.wav,You should read the instructions carefully.
-qyZgVdUmgI_sentence_066.wav,Did you read the instructions?
-qyZgVdUmgI_sentence_067.wav,"I did everything according to your instructions, and"
-qyZgVdUmgI_sentence_072.wav,Why do you hesitate?
-qyZgVdUmgI_sentence_073.wav,Don't hesitate to ask me any questions.
-qyZgVdUmgI_sentence_083.wav,Scale
-qyZgVdUmgI_sentence_095.wav,Root.
-qyZgVdUmgI_sentence_107.wav,Ice.
-qyZgVdUmgI_sentence_110.wav,The ice is melting.
-qyZgVdUmgI_sentence_119.wav,Friend
-qyZgVdUmgI_sentence_121.wav,I have a friend whose father is a teacher.
-qyZgVdUmgI_sentence_123.wav,He is an old friend of mine.
-qyZgVdUmgI_sentence_125.wav,I'd like you to meet my friends.
-qyZgVdUmgI_sentence_133.wav,Hers.
-qyZgVdUmgI_sentence_143.wav,Maybe.
-qyZgVdUmgI_sentence_145.wav,Are you going to sell your house? Maybe.
-qyZgVdUmgI_sentence_151.wav,Set.
-qyZgVdUmgI_sentence_158.wav,Far.
-qyZgVdUmgI_sentence_172.wav,Hobby
-qyZgVdUmgI_sentence_179.wav,Available.
-qyZgVdUmgI_sentence_186.wav,Fat.
-qyZgVdUmgI_sentence_189.wav,"My uncle is thin, but my aunt is fat."
-qyZgVdUmgI_sentence_200.wav,Home.
-qyZgVdUmgI_sentence_206.wav,She advised him to go home early.
-qyZgVdUmgI_sentence_219.wav,Mistake
-qyZgVdUmgI_sentence_220.wav,We all make mistakes.
-qyZgVdUmgI_sentence_222.wav,I took his umbrella by mistake.
-qyZgVdUmgI_sentence_238.wav,Less.
-qyZgVdUmgI_sentence_239.wav,You'll get there in less than ten minutes.
-qyZgVdUmgI_sentence_245.wav,Former
-qyZgVdUmgI_sentence_257.wav,Shape.
-qyZgVdUmgI_sentence_268.wav,He will get nowhere with his plans.
-qyZgVdUmgI_sentence_276.wav,Pupil
-qyZgVdUmgI_sentence_281.wav,After.
-qyZgVdUmgI_sentence_283.wav,Please look after my luggage for a minute.
-qyZgVdUmgI_sentence_285.wav,Can we talk about this after lunch?
-qyZgVdUmgI_sentence_288.wav,No.
