id,source_audio_path,en_source_text,vi_translation,cefr_level,unit_type,structure,function,grammar_points,match_count,collection_id,no_conflict_match_count,matching_ids
sent_0,S-FYtkOqTlU_sentence_106.wav,Accurately.,Chính xác.,A2,word,,,adverb,1,col_1,1,sent_7249
sent_1,d448ERf2gJk_sentence_905.wav,Adequately.,Đủ tốt.,A2,word,,,adverb,1,col_52,1,sent_6584
sent_2,qH5cnyKSL9w_sentence_509.wav,Alphabetically.,Theo thứ tự bảng chữ cái.,A2,word,,,adverb,1,col_53,1,sent_4703
sent_3,EFN11jAjXEM_sentence_160.wav,Amaze.,Tuyệt vời.,A2,word,,,verb,1,col_54,1,sent_9256
sent_4,d2HRQKhrSs0_sentence_455.wav,April.,Tháng tư.,A1,word,,,noun,1,col_55,1,sent_4591
sent_5,eNFFf2rcKC8_sentence_177.wav,Bay.,Vịnh.,A1,word,,,noun,1,col_56,1,sent_9887
sent_6,yY0BaDXBSbk_sentence_314.wav,Brain.,Não.,A1,word,,,noun,1,col_58,1,sent_9404
sent_7,UTJvBxhIaUI_sentence_596.wav,Bye.,Tạm biệt.,A1,word,,,,1,col_59,1,sent_8611
sent_8,w9FIqvip19Y_sentence_127.wav,Chairwoman.,Chủ tịch.,A2,word,,,noun,1,col_60,1,sent_8625
sent_9,-yljNBUV0cw_sentence_657.wav,Concentration.,Sự tập trung.,A1,word,,,noun,1,col_61,1,sent_4248
sent_10,gzFpOCgvfuY_sentence_724.wav,Conventional.,Thông thường.,A2,word,,,adjective,1,col_62,1,sent_7876
sent_11,3LHgzqb9HRM_sentence_395.wav,Cultural.,Thuộc văn hóa.,A2,word,,,adjective,1,col_63,1,sent_7089
sent_12,cQU8U99fZnQ_sentence_236.wav,Decay.,Sự phân rã.,A2,word,,,verb,1,col_64,1,sent_7364
sent_13,CWdJd0sDlOw_sentence_042.wav,Delight.,Tuyệt vời.,A1,word,,,verb,1,col_65,1,sent_6138
sent_14,S-FYtkOqTlU_sentence_011.wav,Diamond.,Kim cương.,A1,word,,,noun,1,col_66,1,sent_5272
sent_15,GUMaa1S8TAw_sentence_468.wav,Dissolve.,Hòa tan.,A1,word,,,verb,1,col_67,1,sent_8006
sent_16,IQMT42t0by0_sentence_484.wav,Electronic.,Điện tử.,A2,word,,,adjective,1,col_69,1,sent_3825
sent_17,28wOHb8a6F4_sentence_420.wav,Engage.,Đính hôn.,A1,word,,,verb,1,col_92,1,sent_5655
sent_18,be6gMVMz48c_sentence_354.wav,Etc.,Vân vân.,A2,word,,,conjunction,1,col_51,1,sent_10172
sent_19,08jDwfm9LcA_sentence_792.wav,Euro.,Euro.,A2,word,,,noun,1,col_50,1,sent_5119
sent_20,L8MZhCnzX9M_sentence_792.wav,Gamble.,Đánh bạc.,A1,word,,,verb,1,col_49,1,sent_10117
sent_21,S-FYtkOqTlU_sentence_045.wav,Gray.,Xám.,A1,word,,,adjective,1,col_68,1,sent_9668
sent_22,eNFFf2rcKC8_sentence_357.wav,Importantly.,Điều quan trọng.,A2,word,,,adverb,1,col_70,1,sent_10229
sent_23,MYQ5iy3aRSo_sentence_779.wav,Indoors.,Trong nhà.,A1,word,,,adverb,1,col_91,1,sent_4046
sent_24,08jDwfm9LcA_sentence_363.wav,Insert.,Chèn.,A2,word,,,verb,1,col_71,1,sent_3434
sent_25,5sDjW_dZj08_sentence_785.wav,Korea.,Hàn Quốc.,A2,word,,,noun,1,col_90,1,sent_6718
